CbRt,SGZ,P,Q,CrRl,AbRl,DfClb,DfRlRt,DfDfClb,ST1,ST2,ST3,ST4,DfST1,DfST2,DfST3,DfST4,Sa,Target
-437,10,-0.34,0.15,-0.4,-20,4,-0.017,-0.4,-0.0013,-0.0016,-0.0016,-0.0016,0.0003,0,0,0,-0.0016,0.022
-282,-34,-0.4,0,0.3,-10,-5,-0.02,1.6,-0.001,-0.001,-0.001,-0.001,0,0,0,0,-0.001,0.016
-90,-20,-0.21,-0.02,0.2,-8,3,-0.004,-0.2,-0.0005,-0.0006,-0.0006,-0.0006,0,0,0,0,-0.0006,0.019
-164,0,0.19,0.08,2,-11,-12,-0.009,0.5,-0.0009,-0.0008,-0.0008,-0.0008,-0.0002,0,-0.0001,0,-0.0008,0.017
8,-36,0.41,0.09,1.8,-19,9,-0.022,-0.1,-0.0021,-0.0022,-0.0022,-0.0024,0.0001,0,0.0001,0,-0.0024,0.036
212,-16,0.05,0.12,-0.6,-14,4,0.006,-1.7,-0.0007,-0.0007,-0.0007,-0.0007,0.0001,0,0,0,-0.0007,0.021
88,44,-0.49,0.16,0.7,-17,-4,0.004,0.3,-0.001,-0.001,-0.001,-0.001,0,0,0,0,-0.001,0.021
-83,-20,-0.21,-0.03,0.1,-8,3,-0.003,0.2,-0.0005,-0.0005,-0.0005,-0.0006,0,0,0,0,-0.0006,0.018
23,-70,-0.53,-0.14,0.8,-9,13,0.01,0.5,-0.0003,-0.0003,-0.0003,-0.0005,0.0001,0,0.0001,0,-0.0005,0.017
-102,-29,0.15,0.02,0.4,-6,-3,-0.003,-0.1,-0.0004,-0.0004,-0.0004,-0.0004,-0.0001,0,0,0,-0.0004,0.016
-95,16,-0.15,0.02,0.4,-13,4,0.007,0.2,-0.0007,-0.0007,-0.0007,-0.0007,0,0,0,0,-0.0007,0.019
-87,-14,-0.55,-0.02,0.3,-10,9,-0.018,0.2,-0.0009,-0.001,-0.001,-0.001,0.0001,0,0,0,-0.001,0.021
176,-29,0.2,-0.06,-1.3,-13,13,0.014,-0.1,-0.0005,-0.0005,-0.0005,-0.0005,0,0,0,0,-0.0005,0.019
389,-9,0.41,0.08,1.6,-5,-6,-0.005,-0.6,-0.0004,-0.0004,-0.0004,-0.0004,0,0,0,0,-0.0004,0.02
202,-16,-0.4,0.25,-1.9,-21,-2,0.001,0,-0.0018,-0.0018,-0.0018,-0.0018,0,0,0,0,-0.0018,0.032
566,12,-0.17,0.1,-0.5,-15,0,0.008,-0.3,-0.0008,-0.0008,-0.0008,-0.0008,0,0,0,0,-0.0008,0.022
542,-61,-0.23,-0.06,1.6,-6,10,-0.011,-1.4,-0.0006,-0.0006,-0.0006,-0.0006,0,0,0,0,-0.0006,0.018
129,-23,-0.07,0.2,-0.7,-21,2,0.008,-0.2,-0.0013,-0.0014,-0.0014,-0.0014,0.0001,0,0,0,-0.0014,0.031
33,-4,-0.34,0.07,1.1,-12,-3,-0.01,0,-0.0009,-0.0009,-0.0009,-0.0009,0.0001,0,0,0,-0.0009,0.019
-217,-4,-0.19,-0.1,2.7,-3,11,-0.011,-0.4,-0.0004,-0.0004,-0.0004,-0.0004,0,0,0,0,-0.0004,0.017
-157,-12,-0.12,0.07,0.4,-7,-6,0.001,0.1,-0.0005,-0.0005,-0.0005,-0.0005,0,0,0,0,-0.0005,0.021
17,-24,-0.12,0.07,-0.3,-8,-3,-0.003,-0.3,-0.001,-0.001,-0.001,-0.001,0,0,0,0,-0.001,0.042
113,-18,0.22,-0.09,0.8,-6,11,0,-0.1,-0.0004,-0.0004,-0.0004,-0.0004,0,0,0,0,-0.0004,0.018
-199,5,-0.17,0.04,0.2,-6,-4,-0.003,0,-0.0004,-0.0004,-0.0004,-0.0004,0,0,0,0,-0.0004,0.016
160,-10,-0.41,0.11,1,-7,-2,0.003,-1.5,-0.0004,-0.0004,-0.0004,-0.0004,0,0,0,0,-0.0004,0.021
309,-19,0.38,0.01,0.6,-18,15,0.002,-0.4,-0.001,-0.001,-0.001,-0.001,0,0,0,0,-0.001,0.019
239,-22,0.35,-0.15,0.6,-6,17,0.004,0,-0.0003,-0.0003,-0.0003,-0.0003,0,0,0,0,-0.0003,0.022
-145,-26,0.19,-0.15,-0.8,-7,12,0.009,0.3,-0.0004,-0.0004,-0.0004,-0.0004,0,0,0,0,-0.0004,0.029
